日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,RSI 极端信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值
2024-01-05 00:00:00,BUY,格力电器(000651),75800,0,32.98,84.0,39.3,极度低估,价值比0.39,2499884.0,2999.86,加仓 50%持仓价值 (extreme_undervalue),32.98,43.3,-0.92,-0.7556,-0.1644,37.35,34.2,31.04,167382102,0.88,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,白色家电,73.16,43.54,77.81,39.04
2024-01-26 00:00:00,SELL,淮北矿业(600985),56400,0,17.57,25.0,70.3,轻度低估,价值比0.70,990948.0,2199.9,减仓 20% (slight_undervalue_sell),17.57,70.63,1.1206,0.9146,0.206,18.25,15.32,12.4,72488502,0.82,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,70.33,34.39,77.83,31.73
2024-02-02 00:00:00,BUY,中矿资源(002738),69100,0,29.52,100.0,29.5,极度低估,价值比0.30,2039832.0,2447.8,加仓 50%持仓价值 (extreme_undervalue),29.52,31.18,-3.7632,-4.5282,0.765,40.74,36.59,32.44,129328010,0.89,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,小金属,77.31,34.21,83.63,31.68
2024-02-02 00:00:00,BUY,赣锋锂业(002460),59500,0,33.16,80.0,41.4,极度低估,价值比0.41,1973020.0,2367.62,加仓 50%持仓价值 (extreme_undervalue),33.16,27.42,-4.4523,-4.6775,0.2252,48.7,42.52,36.34,137236219,0.86,下轨之下,✓,✓,✗,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,能源金属,81.39,30.26,90.16,26.69
2024-02-02 00:00:00,BUY,人福医药(600079),41400,0,18.76,28.0,67.0,明显低估,价值比0.67,776664.0,947.53,加仓 20%持仓价值 (obvious_undervalue),18.76,30.14,-0.6593,-0.1514,-0.5079,27.11,23.68,20.25,94519381,1.42,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,75.95,38.32,80.67,33.67
2024-02-02 00:00:00,BUY,安井食品(603345),26300,0,71.99,128.0,56.2,极度低估,价值比0.56,1893337.0,2309.87,加仓 50%持仓价值 (extreme_undervalue),71.99,21.83,-14.8093,-12.2411,-2.5682,140.87,109.21,77.55,31157690,1.11,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,食品加工,59.94,27.16,65.1,24.82
2024-02-02 00:00:00,BUY,立讯精密(002475),56800,0,25.63,100.0,25.6,极度低估,价值比0.26,1455784.0,1746.94,现金不足，加仓80%现金 (extreme_undervalue),25.63,34.62,-0.5669,0.0542,-0.6211,34.6,30.92,27.24,300830990,1.06,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,消费电子,81.92,38.34,87.99,34.79
2024-02-23 00:00:00,SELL,中国神华(601088),74700,0,39.85,45.0,88.6,合理区间,价值比0.89,2976795.0,6608.48,减仓 50% (fair_value),39.85,83.07,2.1932,1.4132,0.7799,38.97,32.98,26.99,184425785,1.38,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,70.33,34.39,77.83,31.73
2024-02-23 00:00:00,SELL,淮北矿业(600985),45100,0,19.59,25.0,78.4,轻度低估,价值比0.78,883509.0,1961.39,减仓 20% (slight_undervalue_sell),19.59,78.12,1.3329,1.1026,0.2304,19.56,16.27,12.97,163186487,1.87,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,70.33,34.39,77.83,31.73
2024-03-08 00:00:00,SELL,中国神华(601088),37300,0,39.75,45.0,88.3,合理区间,价值比0.88,1482675.0,3291.54,减仓 50% (fair_value),39.75,75.71,2.4153,1.7509,0.6644,40.6,33.81,27.01,179726043,1.28,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,70.33,34.39,77.83,31.73
2024-05-17 00:00:00,SELL,中远海控(601919),99900,0,14.06,20.0,70.3,轻度低估,价值比0.70,1404594.0,3118.2,减仓 20% (slight_undervalue_sell),14.06,81.64,0.6942,0.3235,0.3707,13.0,10.74,8.48,1191461242,1.57,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,航运港口,70.43,42.27,74.46,37.45
