日期,交易类型,股票名称,最后持有股票数量,交易股票数量,交易价格,交易金额,交易成本,交易前股票数量,交易后股票数量,DCF价值,行业,估值比%,价值比描述,估值描述,价值过滤器,超买超卖过滤器,动量过滤器,价格成交量过滤器,满足维度数,actionDesc,收盘价,成交量,RSI指标,MACD DIF,MACD DEA,MACD HIST,boll_upper,boll_middle,量能倍数,行业RSI极端超买阈值,行业RSI极端超卖阈值,行业RSI超买阈值,行业RSI超卖阈值
2024-02-05,buy,中矿资源(002738),31300,2000,27.95,55972.67,72.67,13700.0,15700.0,100.0,能源金属,0.27,价值比0.27,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,31.58,1120390.0,35.61,-4.1,-4.67,0.57,41.16,36.35,0.85,71.46,41.31,68.0,44.52
2024-02-05,buy,江西铜业(600362),55200,4100,17.46,71679.06,93.06,27600.0,31700.0,50.0,有色金属,0.35,价值比0.35,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,18.26,956337.0,50.33,-0.26,-0.34,0.07,19.3,18.0,1.26,75.82,45.34,73.89,47.38
2024-03-04,buy,江西铜业(600362),55200,4700,19.76,92992.73,120.73,31700.0,36400.0,50.0,有色金属,0.39,价值比0.39,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,20.9,1382439.0,65.03,0.23,-0.13,0.36,20.1,18.15,1.15,75.82,45.34,73.89,47.38
2024-03-04,sell,温氏股份(300498),0,-13500,18.84,-253755.02,584.98,26900.0,13400.0,20.0,农牧饲渔,0.95,价值比0.95,"合理区间0.85, 建议减仓比例:-50%",Y,Y,N,Y,3/4,卖出信号: 价值过滤器 + 3个卖出维度,19.08,1476647.0,51.22,0.26,0.3,-0.04,20.49,19.12,0.89,61.14,39.72,59.72,41.71
2024-03-11,buy,神火股份(000933),56900,4600,19.72,90829.93,117.93,31100.0,35700.0,36.0,有色金属,0.54,价值比0.54,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,19.23,1434399.0,61.86,0.86,0.52,0.34,19.69,16.8,1.14,75.82,45.34,73.89,47.38
2024-03-11,buy,江西铜业(600362),55200,5400,20.74,112141.59,145.59,36400.0,41800.0,50.0,有色金属,0.41,价值比0.41,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,22.75,2139861.0,71.89,0.53,0.0,0.52,21.22,18.4,1.43,75.82,45.34,73.89,47.38
2024-03-18,buy,中矿资源(002738),31300,2300,40.81,93985.02,122.02,15700.0,18000.0,100.0,能源金属,0.41,价值比0.41,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,37.71,1045367.0,47.75,-2.31,-3.52,1.21,41.68,36.36,0.76,71.46,41.31,68.0,44.52
2024-03-18,buy,神火股份(000933),56900,5300,19.27,102263.77,132.77,35700.0,41000.0,36.0,有色金属,0.54,价值比0.54,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,19.54,1170566.0,63.06,0.93,0.6,0.33,20.08,16.97,0.98,75.82,45.34,73.89,47.38
2024-03-18,sell,温氏股份(300498),0,-6700,17.82,-119119.39,274.61,13400.0,6700.0,20.0,农牧饲渔,0.89,价值比0.89,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,19.08,2580293.0,51.42,0.13,0.24,-0.11,20.3,19.18,1.38,61.14,39.72,59.72,41.71
2024-03-25,sell,温氏股份(300498),0,-3400,19.06,-64654.95,149.05,6700.0,3300.0,20.0,农牧饲渔,0.95,价值比0.95,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,19.0,1306324.0,50.82,0.12,0.21,-0.1,20.29,19.2,0.75,61.14,39.72,59.72,41.71
2024-04-01,buy,神火股份(000933),56900,6100,20.21,123441.27,160.27,41000.0,47100.0,36.0,有色金属,0.56,价值比0.56,"极度低估0.59, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,22.39,1037379.0,72.27,1.25,0.8,0.45,21.47,17.52,0.81,75.82,45.34,73.89,47.38
2024-04-01,buy,江西铜业(600362),55200,6200,23.7,147131.02,191.02,41800.0,48000.0,50.0,有色金属,0.47,价值比0.47,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,25.32,1751365.0,76.54,1.25,0.49,0.76,24.03,19.24,0.89,75.82,45.34,73.89,47.38
2024-04-01,sell,温氏股份(300498),0,-1700,19.18,-32531.01,74.99,3300.0,1600.0,20.0,农牧饲渔,0.97,价值比0.97,"合理区间0.85, 建议减仓比例:-50%",Y,Y,N,Y,3/4,卖出信号: 价值过滤器 + 3个卖出维度,19.65,1019082.0,55.39,0.16,0.2,-0.04,20.32,19.26,0.62,61.14,39.72,59.72,41.71
2024-04-08,buy,中矿资源(002738),31300,2700,41.09,111087.23,144.23,18000.0,20700.0,100.0,能源金属,0.41,价值比0.41,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,38.68,946014.0,49.33,-1.4,-2.62,1.22,42.41,36.65,1.04,71.46,41.31,68.0,44.52
2024-04-15,buy,中矿资源(002738),31300,3100,38.73,120219.08,156.08,20700.0,23800.0,100.0,能源金属,0.39,价值比0.39,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,37.1,765535.0,47.08,-1.33,-2.36,1.03,42.47,36.73,0.91,71.46,41.31,68.0,44.52
2024-04-15,buy,神火股份(000933),56900,4700,24.73,116382.1,151.1,47100.0,51800.0,36.0,有色金属,0.7,价值比0.70,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,23.02,2456677.0,67.85,1.74,1.11,0.62,23.67,18.33,1.31,75.82,45.34,73.89,47.38
2024-04-15,buy,云铝股份(000807),46100,3600,15.04,54214.39,70.39,36500.0,40100.0,25.0,有色金属,0.61,价值比0.61,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.54,2923169.0,61.05,0.34,-0.1,0.44,15.0,12.29,0.94,75.82,45.34,73.89,47.38
2024-04-22,buy,中矿资源(002738),31300,3500,36.74,128757.17,167.17,23800.0,27300.0,100.0,能源金属,0.36,价值比0.36,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,34.43,1069943.0,43.47,-1.47,-2.18,0.71,42.48,36.67,1.16,71.46,41.31,68.0,44.52
2024-04-22,buy,神火股份(000933),56900,5100,23.09,117912.09,153.09,51800.0,56900.0,36.0,有色金属,0.64,价值比0.64,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,22.14,2555457.0,63.4,1.75,1.24,0.51,24.09,18.66,1.19,75.82,45.34,73.89,47.38
2024-04-22,buy,云铝股份(000807),46100,6000,14.6,87713.88,113.88,40100.0,46100.0,25.0,有色金属,0.57,价值比0.57,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.67,2700873.0,61.74,0.43,0.01,0.42,15.29,12.39,0.92,75.82,45.34,73.89,47.38
2024-04-22,buy,江西铜业(600362),55200,7200,27.07,195157.38,253.38,48000.0,55200.0,50.0,有色金属,0.53,价值比0.53,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,26.58,2400199.0,75.97,2.02,1.15,0.87,27.51,20.56,0.95,75.82,45.34,73.89,47.38
2024-04-22,sell,温氏股份(300498),0,-800,18.74,-14957.52,34.48,1600.0,800.0,20.0,农牧饲渔,0.95,价值比0.95,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,19.21,1370697.0,52.26,0.04,0.12,-0.08,20.37,19.2,1.01,61.14,39.72,59.72,41.71
2024-04-29,buy,中矿资源(002738),31300,4000,35.27,141263.4,183.4,27300.0,31300.0,100.0,能源金属,0.36,价值比0.36,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,35.6,402179.0,45.44,-1.47,-2.04,0.57,42.29,36.52,0.51,71.46,41.31,68.0,44.52
2024-04-29,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.57,价值比0.57,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.39,981289.0,59.31,0.47,0.1,0.37,15.54,12.52,0.37,75.82,45.34,73.89,47.38
2024-04-29,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.52,价值比0.52,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,26.13,939356.0,72.81,2.09,1.34,0.76,28.19,21.0,0.4,75.82,45.34,73.89,47.38
2024-04-29,sell,温氏股份(300498),0,-400,19.15,-7642.38,17.62,800.0,400.0,20.0,农牧饲渔,0.95,价值比0.95,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,19.18,660625.0,52.05,0.05,0.11,-0.05,20.33,19.18,0.52,61.14,39.72,59.72,41.71
2024-05-06,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.36,价值比0.36,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,35.91,641471.0,45.98,-1.43,-1.92,0.49,42.28,36.52,0.89,71.46,41.31,68.0,44.52
2024-05-06,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.59,价值比0.59,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,15.1,2449877.0,63.27,0.55,0.19,0.36,15.87,12.71,1.08,75.82,45.34,73.89,47.38
2024-05-06,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.52,价值比0.52,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,26.78,1577148.0,74.46,2.18,1.5,0.68,28.87,21.48,0.82,75.82,45.34,73.89,47.38
