日期,股票代码,股票名称,信号类型,当前价格,维度一状态,技术维度满足数,三者取二,信号强度,决策依据,执行状态,未执行原因,执行日期,执行价格,信号前持仓数量,信号前持仓占比,交易数量,交易后持仓数量,交易后持仓占比,DCF估值,价值比率,价值过滤器状态,行业名称,14周RSI,行业买入阈值,行业卖出阈值,行业极端买入,行业极端卖出,RSI信号类型,价格背离,维度二状态,MACD_DIF,MACD_DEA,MACD柱体,MACD颜色,柱体趋势,金叉死叉状态,维度三状态,布林中轨,布林上轨,布林下轨,价格布林位置,当前成交量,成交量基准,成交量比率,显著放量,维度四状态,最近5周价格,最近5周成交量,数据质量,计算异常,信号ID
2024-01-05 00:00:00,000651,格力电器(000651),BUY,32.98,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-01-05 00:00:00,32.98,151600,0.05,75800,227400,0.075,84.0,0.39,满足,白色家电,43.3,43.54,73.16,39.04,77.81,普通信号,无背离信号,买入,-0.92,-0.7556,-0.1644,绿色,连续放大,无交叉,买入,34.2,37.35,31.04,区间内,167382102,191069349,0.88,否,无,"[32.88, 33.1, 32.04, 32.17, 32.98]","[121497921.0, 136207193.0, 310825762.0, 149862340.0, 167382102.0]",数据长度140条,无,000651_20240105_BUY_1704412800
2024-01-26 00:00:00,600985,淮北矿业(600985),SELL,17.57,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-01-26 00:00:00,17.57,282100,0.0495,56400,225700,0.0396,25.0,0.7,满足,煤炭开采,70.63,34.39,70.33,31.73,77.83,普通信号,无背离信号,卖出,1.1206,0.9146,0.206,红色,连续缩短,无交叉,卖出,15.32,18.25,12.4,区间内,72488502,88495840,0.82,否,无,"[16.63, 17.72, 17.28, 16.71, 17.57]","[143128148.0, 102934409.0, 84101620.0, 94458832.0, 72488502.0]",数据长度143条,无,600985_20240126_SELL_1706227200
2024-02-02 00:00:00,002738,中矿资源(002738),BUY,29.52,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,29.52,138300,0.043,69100,207400,0.0645,100.0,0.3,满足,小金属,31.18,34.21,77.31,31.68,83.63,极端信号,无背离信号,买入,-3.7632,-4.5282,0.765,红色,连续缩短,无交叉,无,36.59,40.74,32.44,跌破下轨,129328010,145687712,0.89,否,买入,"[36.14, 40.2, 38.49, 37.15, 29.52]","[62566649.0, 168436314.0, 159724094.0, 125262432.0, 129328010.0]",数据长度144条,无,002738_20240202_BUY_1706832000
2024-02-02 00:00:00,002460,赣锋锂业(002460),BUY,33.16,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,33.16,119100,0.0416,59500,178600,0.0624,80.0,0.41,满足,能源金属,27.42,30.26,81.39,26.69,90.16,普通信号,无背离信号,买入,-4.4523,-4.6775,0.2252,红色,连续缩短,无交叉,无,42.52,48.7,36.34,跌破下轨,137236219,160077234,0.86,否,买入,"[41.98, 43.48, 41.52, 39.81, 33.16]","[103104882.0, 241908791.0, 133731882.0, 127432046.0, 137236219.0]",数据长度144条,无,002460_20240202_BUY_1706832000
2024-02-02 00:00:00,600079,人福医药(600079),BUY,18.76,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,18.76,207000,0.0409,41400,248400,0.0491,28.0,0.67,满足,化学制药,30.14,38.32,75.95,33.67,80.67,极端信号,无背离信号,买入,-0.6593,-0.1514,-0.5079,绿色,连续缩短,无交叉,无,23.68,27.11,20.25,跌破下轨,94519381,66334930,1.42,是,买入,"[24.15, 23.34, 22.52, 21.41, 18.76]","[50104876.0, 43929106.0, 43516804.0, 83374431.0, 94519381.0]",数据长度144条,无,600079_20240202_BUY_1706832000
2024-02-02 00:00:00,603345,安井食品(603345),BUY,71.99,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,71.99,52700,0.04,26300,79000,0.06,128.0,0.56,满足,食品加工,21.83,27.16,59.94,24.82,65.1,极端信号,无背离信号,买入,-14.8093,-12.2411,-2.5682,绿色,连续缩短,无交叉,无,109.21,140.87,77.55,跌破下轨,31157690,28132742,1.11,否,买入,"[94.75, 96.42, 96.24, 81.5, 71.99]","[13710100.0, 17360436.0, 12109811.0, 51903031.0, 31157690.0]",数据长度144条,无,603345_20240202_BUY_1706832000
2024-02-02 00:00:00,002475,立讯精密(002475),BUY,25.63,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,25.63,153800,0.0416,56800,210600,0.0569,100.0,0.26,满足,消费电子,34.62,38.34,81.92,34.79,87.99,极端信号,无背离信号,买入,-0.5669,0.0542,-0.6211,绿色,连续缩短,无交叉,无,30.92,34.6,27.24,跌破下轨,300830990,283583205,1.06,否,买入,"[32.5, 30.6, 29.34, 27.82, 25.63]","[200567253.0, 227424009.0, 303393195.0, 302684628.0, 300830990.0]",数据长度144条,无,002475_20240202_BUY_1706832000
2024-02-23 00:00:00,601088,中国神华(601088),SELL,39.85,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-02-23 00:00:00,39.85,149400,0.057,74700,74700,0.0285,45.0,0.89,满足,煤炭开采,83.07,34.39,70.33,31.73,77.83,极端信号,无背离信号,卖出,2.1932,1.4132,0.7799,红色,连续放大,无交叉,无,32.98,38.97,26.99,突破上轨,184425785,133529207,1.38,是,卖出,"[35.8, 37.02, 38.07, 38.07, 39.85]","[164562054.0, 177262773.0, 172428270.0, 0.0, 184425785.0]",数据长度147条,无,601088_20240223_SELL_1708646400
2024-02-23 00:00:00,600985,淮北矿业(600985),SELL,19.59,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-02-23 00:00:00,19.59,225700,0.0424,45100,180600,0.0339,25.0,0.78,满足,煤炭开采,78.12,34.39,70.33,31.73,77.83,极端信号,无背离信号,卖出,1.3329,1.1026,0.2304,红色,连续放大,无交叉,无,16.27,19.56,12.97,突破上轨,163186487,87206912,1.87,是,卖出,"[17.57, 17.41, 18.3, 18.3, 19.59]","[72488502.0, 77778881.0, 107862282.0, 0.0, 163186487.0]",数据长度147条,无,600985_20240223_SELL_1708646400
2024-03-08 00:00:00,601088,中国神华(601088),SELL,39.75,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-03-08 00:00:00,39.75,74700,0.0279,37300,37400,0.014,45.0,0.88,满足,煤炭开采,75.71,34.39,70.33,31.73,77.83,普通信号,无背离信号,卖出,2.4153,1.7509,0.6644,红色,连续缩短,无交叉,卖出,33.81,40.6,27.01,区间内,179726043,140762639,1.28,否,无,"[38.07, 38.07, 39.85, 38.38, 39.75]","[172428270.0, 0.0, 184425785.0, 198898728.0, 179726043.0]",数据长度149条,无,601088_20240308_SELL_1709856000
